"Job ID","Job Title","Company Name","Location","Date Posted","Seniority Level","Employment Type","Job Function","Industries","Job Description","Job URL"
"4410187456","Software Engineer, AI/ML","ValGenesis","Hyderabad, Telangana, India","4 months ago","Not specified","Not specified","Not specified","Not specified","About ValGenesis\nValGenesis is a leading digital validation platform provider for life sciences companies. ValGenesis suite of products are used by 30 of the top 50 global pharmaceutical and biotech companies to achieve digital transformation, total compliance and manufacturing excellence/intelligence across their product lifecycle.\nLearn more about working for ValGenesis, the de facto standard for paperless validation in Life Sciences: https://www.valgenesis.com/about\nAbout the Role:\nResponsibilities:\nImplement, and deploy Machine Learning solutions to solve complex problems and deliver real business value, ie. revenue, engagement, and customer satisfaction.\nCollaborate with data product managers, software engineers and SMEs to identify AI/ML opportunities for improving process efficiency.\nDevelop production-grade ML models to enhance customer experience, content recommendation, content generation, and predictive analysis.\nMonitor and improve model performance via data enhancement, feature engineering, experimentation and online/offline evaluation.\nStay up-to-date with the latest in machine learning and artificial intelligence, and influence AI/ML for the Life science industry.\nRequirements:\n2 - 4 years of experience in AI/ML engineering, with a track record of handling increasingly complex projects.\nStrong programming skills in Python, Rust.\nExperience with Pandas, NumPy, SciPy, OpenCV (for image processing)\nExperience with ML frameworks, such as scikit-learn, Tensorflow, PyTorch.\nExperience with GenAI tools, such as Langchain, LlamaIndex, and open source Vector DBs.\nExperience with one or more Graph DBs - Neo4J, ArangoDB\nExperience with MLOps platforms, such as Kubeflow or MLFlow.\nExpertise in one or more of the following AI/ML domains: Causal AI, Reinforcement Learning, Generative AI, NLP, Dimension Reduction, Computer Vision, Sequential Models\nExpertise in building, deploying, measuring, and maintaining machine learning models to address real-world problems.\nThorough understanding of software product development lifecycle, DevOps (build, continuous integration, deployment tools) and best practices.\nExcellent written and verbal communication skills and interpersonal skills.\nAdvanced degree in Computer Science, Machine Learning or related field.\nExperience in the life science domain or a related field is preferable\nWe’re on a Mission\nIn 2005, we disrupted the life sciences industry by introducing the world’s first digital validation lifecycle management system. ValGenesis VLMS® revolutionized compliance-based corporate validation activities and has remained the industry standard.\nToday, we continue to push the boundaries of innovation ― enhancing and expanding our portfolio beyond validation with an end-to-end digital transformation platform. We combine our purpose-built systems with world-class consulting services to help every facet of GxP meet evolving regulations and quality expectations.\nThe Team You’ll Join\nOur customers’ success is our success. We keep the customer experience centered in our decisions, from product to marketing to sales to services to support. Life sciences companies exist to improve humanity’s quality of life, and we honor that mission.\nWe work together. We communicate openly, support each other without reservation, and never hesitate to wear multiple hats to get the job done.\nWe think big. Innovation is the heart of ValGenesis. That spirit drives product development as well as personal growth. We never stop aiming upward.\nWe’re in it to win it. We’re on a path to becoming the number one intelligent validation platform in the market, and we won’t settle for anything less than being a market leader.\nHow We Work\nOur Chennai, Hyderabad and Bangalore offices are onsite, 5 days per week. We believe that in-person interaction and collaboration fosters creativity, and a sense of community, and is critical to our future success as a company.\nValGenesis is an equal-opportunity employer that makes employment decisions on the basis of merit. Our goal is to have the best-qualified people in every job. All qualified applicants will receive consideration for employment without regard to race, religion, sex, sexual orientation, gender identity, national origin, disability, or any other characteristics protected by local law.\nWe may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses and identifying potential inconsistencies or verification signals in application materials based on available information. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.","https://in.linkedin.com/jobs/view/software-engineer-ai-ml-at-valgenesis-4410187456"
"4451082693","AI/ML engineer","Inspire Infosol Pvt Ltd. India","Greater Hyderabad Area","1 month ago","Not specified","Not specified","Not specified","Not specified","Role overview\nDesign, develop, deploy, and optimize machine learning and generative AI solutions that solve business problems and create measurable impact.\nKey responsibilities\nBuild, train, evaluate, and deploy ML models.\nDevelop data pipelines and feature engineering workflows.\nWork with NLP, LLMs, computer vision, or predictive analytics solutions.\nFine-tune foundation models and implement RAG architectures.\nCollaborate with product, engineering, and business teams.\nMonitor model performance and implement MLOps best practices.\nConduct experimentation and model benchmarking.\nRequired Skills & Qualifications\nPython (NumPy, Pandas, Scikit-learn).\nMachine learning and deep learning fundamentals.\nPyTorch and/or TensorFlow.\nSQL and data processing.\nCloud platforms (Azure, AWS, or GCP).\nGit, CI/CD, and MLOps concepts.\nLLMs, prompt engineering, vector databases, and RAG.\nEducation\nBachelor's or master's degree in Computer Science, AI, Data Science, Statistics, or related field.\nPreferred Skills\nExperience with Azure AI, OpenAI, LangChain, Semantic Kernel, or similar frameworks.\nExposure to Docker and Kubernetes.\nKnowledge of model deployment and monitoring.\nSuccess metrics\nHigh-quality model performance, scalable deployments, strong stakeholder collaboration, and continuous improvement of AI solutions.","https://in.linkedin.com/jobs/view/ai-ml-engineer-at-inspire-infosol-pvt-ltd-india-4451082693"
"4461744804","Sr AI/ML Engineer – GenAI & Agentic AI","Franklin Templeton","Greater Hyderabad Area","4 days ago","Not specified","Not specified","Not specified","Not specified","Fiduciary Trust International is a premier investment and wealth management firm with a commitment to growing and protecting wealth across generations. We offer a dynamic and collaborative approach to managing wealth for high-net-worth and ultra high-net-worth individuals and families, family offices, endowments, foundations, and institutions. Our investment managers, tax and estate planning professionals work together to develop holistic strategies to optimize clients’ portfolios while mitigating the impact of taxes on their wealth. As a fiduciary, the guidance we provide is in the best interests of our clients, without conflict or competing benefits. We offer boutique customization and deep expertise in specialized investment, tax and planning strategies alongside sophisticated technology and custody platforms.\nFiduciary Trust International is owned by Franklin Templeton, a dynamic firm that spans asset management, wealth management, and fintech, giving us many ways to help investors make progress toward their goals. With clients in over 150 countries and offices on six continents, you’ll get exposed to different cultures, people, and business development happening around the world.\nAbout The Department\nOur AI Engineering team develops and scales production-ready Generative AI and Agentic AI solutions that help solve complex business challenges and accelerate innovation across the organization. The team brings together AI engineers, architects, and business stakeholders who work collaboratively to design, build, and deploy secure, enterprise-grade solutions on Microsoft Azure. Joining this team offers opportunities to work with emerging technologies, influence AI standards and best practices, and contribute to high-impact initiatives in a collaborative and growth-oriented environment.\nHow You Will Add Value?\nCore Responsibilities\nYou will design and deploy Generative AI and Agentic AI solutions.\nYou will deliver applications from concept through production.\nYou will execute high-impact AI initiatives.\nYou will review and mentor fellow engineers.\nYou will build multi-step agentic workflows.\nYou will develop Retrieval-Augmented Generation (RAG) solutions.\nStrategic Responsibilities\nYou will partner with business teams to solve complex problems.\nYou will collaborate with architects on scalable, secure solutions.\nYou will help define enterprise AI standards and practices.\nYou will contribute to knowledge graph and data pipeline strategies.\nTeam & Collaboration\nYou will work closely with engineers, architects, and stakeholders.\nYou will promote engineering excellence across development and operations.\nYou will support continuous improvement through mentoring and knowledge sharing.\nWhat Will Help You Be Successful in This Role?\nExperience, Education & Certifications\n6+ years of software or AI/Machine Learning engineering experience.\nProven experience delivering Generative AI or Agentic AI solutions to production.\nExperience mentoring engineers or leading projects.\nAzure AI or Data certifications are advantageous.\nTechnical Skills\nStrong understanding of the end-to-end Generative AI lifecycle.\nExperience with Retrieval-Augmented Generation (RAG) and agent orchestration.\nHands-on experience with Microsoft Azure AI services.\nStrong Python development skills.\nExperience with LangChain, LangGraph, or similar frameworks.\nKnowledge of knowledge graphs, graph databases, or Graph RAG.\nExperience with modern data platforms and pipeline technologies.\nExperience contributing to semantic design and governance for complex business domains and data landscapes.\nSoft Skills\nStrong collaboration and stakeholder management skills.\nAbility to translate business needs into technical solutions.\nEffective communication and teamwork skills.\n Work Shift Timings - 2:00 PM -11:00 PM IST\nExperience our welcoming culture and reach your professional and personal potential!\nOur culture is shaped by the variety of perspectives and experiences brought by talent from around the world. Regardless of your interests, lifestyle, or background, there’s a place for you at Franklin Templeton. We provide employees with the tools, resources, and learning opportunities to help them excel in their career and personal life.\nBy joining us, you will become part of a culture that focuses on employee well-being and provides multidimensional support for a positive and healthy lifestyle. We understand that benefits are at the core of employee well-being and may vary depending on individual needs. Whether you need support for maintaining your physical and mental health, saving for life’s adventures, taking care of your family members, or making a positive impact in your community, we aim to have them covered.\nLearn more about the wide range of benefits we offer at Franklin Templeton\nMost benefits vary by location. Ask your recruiter about benefits in your country.\nFranklin Templeton is an Equal Opportunity Employer. We are committed to providing equal employment opportunities to all applicants and employees, and we evaluate qualified applicants without regard to ancestry, age, color, disability, genetic information, gender, gender identity, or gender expression, marital status, medical condition, military or veteran status, national origin, race, religion, sex, sexual orientation, and any other basis protected by federal, state, or local law, ordinance, or regulation.\nIf you believe that you need an accommodation or adjustment, due to a medical condition or disability, to search for or apply for one of our positions, please send an email to accommodations@franklintempleton.com. In your email, please include the accommodation or adjustment you are requesting, the job title, and the job number of the position you are applying for. It may take up to three business days to receive a response to your request. Please note that only accommodation requests will receive a response.","https://in.linkedin.com/jobs/view/sr-ai-ml-engineer-%E2%80%93-genai-agentic-ai-at-franklin-templeton-4461744804"
"4440465191","Sr AI Engineer","Anblicks","Hyderabad, Telangana, India","2 months ago","Not specified","Not specified","Not specified","Not specified","Senior / Lead AI Engineer\nAbout The Role\nWe're looking for a Senior / Lead AI Engineer to design, build, and deploy production-grade AI systems. You'll work across the full stack of modern AI development, from agentic applications to the data platforms that power them, and help translate complex technical work into clear outcomes for the business.\nWhat You'll Do\nBuild and deploy agentic AI applications using frameworks such as LangChain and the Claude SDK\nDesign and optimize LLM-powered solutions, including prompt engineering, RAG pipelines, and retrieval systems\nDevelop and maintain data-driven AI services on Snowflake\nDeploy and scale solutions on Azure or AWS\nPartner with stakeholders and present technical work clearly to both technical and non-technical audiences\nWhat You'll Bring\n8-10 years of engineering experience\nHands-on experience with agentic frameworks (LangChain, Claude SDK)\nStrong understanding of the LLM ecosystem: prompt engineering, skills, caching, RAG, vector databases, indexing, and ranking\nExperience deploying on Azure or AWS\nSnowflake experience (required)\nProficiency in SQL and Python\nWorking knowledge of both traditional ML and agentic AI\nExposure to FastAPI\nExcellent communication and presentation skills\nA can-do attitude with a strong sense of speed and pace\nNice to Have\nExposure to React.js","https://in.linkedin.com/jobs/view/sr-ai-engineer-at-anblicks-4440465191"
"4460493696","Senior Software Engineer – AI/ML & Agentic Systems","L&T Technology Services","Hyderabad, Telangana, India","2 weeks ago","Not specified","Not specified","Not specified","Not specified","Senior Software Engineer – AI/ML & Agentic Systems\nExperience:\n 5-8 Years\n\nLocation:\n Bangalore / Hyderabad (As applicable)\nKey Skills\nPython Programming\nAI Agents & Multi-Agent Systems\nMachine Learning (PyTorch, TensorFlow, Scikit-Learn)\nLLMs, Prompt Engineering, RAG\nLangChain, AutoGen\nFastAPI / Flask\nSnowflake, SQL, MySQL\nMLOps & Model Deployment\nLinux/Unix\nC++ (Preferred)\nJob Responsibilities\nDesign and deploy AI agents and multi-agent workflows for automation, test generation, and failure analysis.\nBuild, train, and optimize ML models for anomaly detection, predictive analytics, and test optimization.\nDevelop scalable AI solutions leveraging LLMs and RAG architectures.\nIntegrate AI systems with enterprise databases and data pipelines.\nDevelop production-grade backend applications primarily using Python.\nImplement MLOps best practices for model deployment, monitoring, and lifecycle management.\nCollaborate with engineering teams to drive seamless integration and knowledge transfer.\nPreferred Experience\nHands-on experience with AI agent frameworks such as LangChain, AutoGen, or similar.\nStrong expertise in LLM APIs, prompt engineering, and RAG pipelines.\nExperience deploying ML models in production environments.\nProficiency in API development using FastAPI or Flask.\nStrong understanding of Linux environments, infrastructure automation, and backend engineering.\nKnowledge of FPGA, validation, or test automation environments is an added advantage.\nEducation\nBachelor's or Master's Degree in Computer Science, Electrical & Electronics Engineering, or a related field.","https://in.linkedin.com/jobs/view/senior-software-engineer-%E2%80%93-ai-ml-agentic-systems-at-l-t-technology-services-4460493696"
"4468367834","Machine Learning Engineer","Deccan AI","Hyderabad, Telangana, India","3 days ago","Not specified","Not specified","Not specified","Not specified","Location:\n Hyderabad |\nWork Mode:\n Onsite\nDeccan AI is a\nBay Area–headquartered AI infrastructure company\n, backed by\nProsus Ventures\n, with\n$25M in Series A funding\n. We’re building the infrastructure and expert systems powering the next generation of AI.\nWhat You'll Do\nBuild and productionize\nLLM, RAG and Agentic AI systems\n.\nDevelop scalable\nML/MLOps pipelines\n for deployment, evaluation and monitoring.\nWork with\nLLMs, vector databases, embeddings, retrieval, reranking and agent frameworks\n.\nBuild and optimize AI services using\nPython and modern ML/engineering tools\n.\nCollaborate with ML, research and engineering teams to take AI systems from\nprototype to production\n.\nWhat We're Looking For\n2–4 years\n of hands-on ML/AI engineering experience.\nStrong\nPython\n and software engineering fundamentals.\nExperience with\nRAG, Agentic AI, MLOps, LLM applications or ML infrastructure\n.\nExposure to tools such as\nLangChain/LangGraph, vector DBs, Docker/Kubernetes, MLflow/W&B\n or similar.\nStrong problem-solving mindset and ownership.\nGood to have:\n LLM evaluation, fine-tuning (SFT/LoRA/QLoRA/DPO), vLLM or model serving experience.\nNote:\n This role is focused on\nLLM/GenAI, RAG, Agentic AI and MLOps\n —\nComputer Vision / Multimodal experience is not required.\nInterview Process\nRecruiter Discussion\nAssessment of background, experience, and motivation\nTechnical Project Deep Dive\nDetailed walkthrough of a complex ML project with focus on technical ownership and implementation depth\nTechnical Evaluation\nCoding assessment, ML systems design discussion, and practical implementation evaluation focused on LLMs and ML engineering\nCulture & Team Fit\nEvaluation of communication, collaboration, ownership mindset, and alignment with Deccan AI’s operating culture","https://in.linkedin.com/jobs/view/machine-learning-engineer-at-deccan-ai-4468367834"
"4448040623","GenAI / AI Engineer","Prasanz","Greater Hyderabad Area","1 month ago","Not specified","Not specified","Not specified","Not specified","Back to Open Positions\nData & AI\nGenAI / AI Engineer\nFull-Time Hyderabad, India (Offshore) Posted 6/23/2026\nPrimary Technology Stack\nPythonPyTorchLLMs (GPT/Claude)LangChainVector Databases (Pinecone/Chroma)FastAPI\nAbout The Role\nWe are hiring two Generative AI Engineers to build intelligent features, orchestrate model pipelines, and implement production-grade AI features. You will design retrieval-augmented generation (RAG) structures, fine-tune models, and deploy high-performance endpoints.\nKey Responsibilities\nArchitect and optimize RAG pipelines utilizing vector databases and semantic indexing systems.\nDeploy and configure custom large language models (LLMs) and embeddings parameters.\nBuild backend APIs (FastAPI/Python) to route agent parameters, manage sessions, and stream outputs.\nTrack and mitigate model issues, minimizing errors, prompt injections, and token costs.\nCollaborate with product squads to identify, design, and validate AI enablement opportunities.\nRequired Qualifications\n4+ years of software engineering experience, with 2+ years dedicated to AI/ML model integrations.\nProficient in Python, including libraries like LangChain, LlamaIndex, PyTorch, and Hugging Face.\nExperience configuring and querying production vector databases (Pinecone, Chroma, pgvector).\nPractical experience managing LLM parameters, chunking logic, and semantic architectures.\nMasters or Bachelors in Computer Science, Data Science, or related engineering focus.\nApply for this Position\nRole: GenAI / AI Engineer\nWebsite\nFull Name *\nEmail Address *\nPhone Number\nUpload Resume (PDF only, Max 5MB) *\nClick or Drag PDF file here\nCover Letter / Message\nSecured SSL Endpoint. Candidate documents handled securely.","https://in.linkedin.com/jobs/view/genai-ai-engineer-at-prasanz-4448040623"
"4440123916","Senior Software Engineer - AI","Truveta","Hyderabad, Telangana, India","2 weeks ago","Not specified","Not specified","Not specified","Not specified","Truveta is the world’s first health provider led data platform with a vision of Saving Lives with Data. Our mission is to enable researchers to find cures faster, empower every clinician to be an expert, and help families make the most informed decisions about their care. Achieving Truveta’ s ambitious vision requires an incredible team of talented and inspired people with a special combination of health, software and big data experience who share our company values.\nThis position is based out of our India Development Center in\n Hyderabad.\nWho we are looking for\nJoin Truveta’s\nIntelligence Platform and Applications\n (IPA) team to build the next wave of healthcare AI — developing adaptive agentic systems and fine-tuned foundation models that continuously learn, reason, and accelerate real-world impact. Guided by Truveta’s mission of Saving Lives with Data, you’ll help transform how health data becomes intelligence, powering breakthroughs that enable researchers, clinicians and operational managers to make data-driven, proactive, and impactful decisions. We firmly believe that patients, doctors, and medical researchers deserve to benefit from the artificial intelligence revolution that is transforming productivity, creativity, and communication. You’ll help shape the AI capabilities that make healthcare more intelligent, efficient, and equitable — driving real-world impact across research, care delivery, and patient outcomes. If you’re seeking a sense of purpose and are motivated to advance how AI supports learning, decision-making, and discovery in healthcare, you’ll find this an inspiring place to grow.\n We are seeking AI Engineers who thrive at the intersection of agentic and applied AI, machine learning, and large-scale engineering. You’ll blend ML craftsmanship with platform engineering excellence to create scalable, self-improving AI agents and models that learn from vast, diverse healthcare data and deliver meaningful insights through automation and reasoning. As part of the IPA team, you’ll use your expertise in applied AI, model optimization, and agentic intelligence to create systems that think, adapt, and improve R&D, business strategy, operations and care delivery across the healthcare ecosystem. You’ll work in an ambitious, fast-paced and collaborative environment where every contribution helps make healthcare more connected, intelligent, and impactful.\nRequired Skills\nAgentic AI\nDesign and reason with agentic AI frameworks — experienced in building multi-agent workflows using frameworks such as LangGraph, AutoGen, or CrewAI, integrating reasoning, reflection, planning, tool use and memory to create intelligent, goal-driven systems. Have a deep understanding of capabilities of multi-modal models in agentic systems.\nUnderstand evaluation deeply — fluent in ML validation and measurement (Precision, Recall, Specificity, NPV, etc.), and experienced designing reward functions, evaluators, or grader models for reinforcement fine-tuning and continuous improvement. Good understanding of LLM as judges for qualitative and semantic evaluations.\nFluency in embeddings and vector stores — experienced in building or integrating retrieval-augmented generation (RAG) pipelines, managing vector databases (e.g., FAISS, Pinecone, Chroma, Azure AI Search, or similar), and leveraging semantic search or context injection to enhance reasoning.\nAdapt and learn continuously — staying ahead of evolving AI architectures, agentic frameworks, and emerging paradigms in reasoning and retrieval. You have curiosity, humility, and a bias for iteration.\nMachine Learning and LLMs\nA solid understanding of classical ML, and LLM fundamentals — knowledgeable in transformer architectures, attention mechanisms, and tokenization principles. You understand how embeddings, context windows, and model scaling laws influence quality, cost, and performance.\nExcellence in model fine-tuning — with hands-on expertise fine-tuning large language models (LLMs) or multimodal models using supervised, reinforcement, or instruction-tuning techniques (e.g., LoRA, PEFT, TRL). Skilled at optimizing model efficiency, interpretability, and inference performance.\nThought leadership\nAs a senior member of the development team, you must provide thought leadership to the team in the following areas:\nCollaboration across boundaries — partnering with platform, application, and product engineers to transform concepts into scalable, reliable AI solutions. You communicate clearly, share knowledge openly, and thrive in cross-functional teams.\nSolid engineering — grounded in strong software design principles, modular architecture, and code quality. You can translate experimental ideas into robust, maintainable systems that integrate seamlessly within large-scale AI platforms.\nDemonstrating ownership — capable of setting technical direction, mentoring peers, and making pragmatic design trade-offs that balance innovation, performance, and reliability.\nActing with purpose — applying thoughtful engineering and ethical AI principles to create systems that advance healthcare intelligence responsibly and at scale.\nKey Qualifications\nB.S. or M.S. in Computer Science, Artificial Intelligence, or a related technical field.\n5+ years of industry experience building and deploying scalable, production-ready ML systems in a collaborative engineering environment.\nStrong software engineering fundamentals, with proficiency in Python and experience designing scalable systems in modern cloud environments (Azure, AWS, or GCP).  Experienced in modern development workflows such as code reviews, CI/CD pipelines, and collaborative development tools. Experience with debugging, testing, feature flags, experimentation and version control (Git). Exposure to Python-based web services (FastAPI a plus) and containerized application development (Docker or Kubernetes).\nProficiency with agentic AI frameworks (e.g., LangGraph, AutoGen, CrewAI) and understanding of interoperability protocols such as MCP and A2A. Deep experience with MCP (Model Context Protocol) architecture, AI systems or APIs, or large-scale codebases is preferred.\nExperience working with vector databases and embeddings, integrating FAISS, Pinecone, Chroma, or Azure AI Search into retrieval-augmented generation (RAG) or semantic-search pipelines.\nHands-on experience fine-tuning and optimizing large language models (LLMs) or multimodal models, using techniques such as LoRA, PEFT, and TRL.\nStrong communication and teamwork skills, with a pragmatic and collaborative approach to problem solving\n\n Why Truveta?\nBe a part of building something special. Now is the perfect time to join Truveta. We have strong, established leadership with decades of success. We are well-funded. We are building a culture that prioritizes people and their passions across personal, professional, and everything in between. Join us as we build an amazing company together.","https://in.linkedin.com/jobs/view/senior-software-engineer-ai-at-truveta-4440123916"
"4461993002","Lead AI/ML Engineer ( NLP, Transformers, Vector Databases, and RAG),","Optum India","Hyderabad, Telangana, India","2 weeks ago","Not specified","Not specified","Not specified","Not specified","The Lead AI/ML Engineer\n is a primary driver in the design and development of state-of-the-art Artificial Intelligence solutions with a strong focus on\nNatural Language Processing (NLP), Transformer-based architectures, Vector Database technologies, and Retrieval-Augmented Generation (RAG)\n. The Lead AI/ML Engineer works closely with senior data scientists, machine learning engineers, software engineers, and subject matter experts on current company technologies and forward-looking projects. They drive research, innovation, and solution implementation in the creation of next-generation AI systems.\nKey Responsibilities\n· Lead end-to-end training and fine-tuning of Large Language Models (LLMs), including both open-source (e.g., Qwen, LLaMA, Mistral) and closed-source (e.g., OpenAI, Gemini, Anthropic) ecosystems.\n· Deep knowledge and extensive experience with Machine/Deep Learning frameworks including transformer architectures, state space models, large language models, and agentic approaches.\n· Architect and implement GraphRAG pipelines, including knowledge graph representation and retrieval for enhanced contextual grounding.\n· Design, train, and optimize semantic and dense vector embeddings for document understanding, search, and retrieval.\n· Develop semantic retrieval systems with advanced document segmentation and indexing strategies.\n· Knowledge of algorithms and techniques within a computational domain with emphasis on text processing.\nThis keeps the JD exactly as is while making it immediately obvious that the role's primary focus is\nNLP, Transformers, Vector Databases, Embeddings, Retrieval, and RAG\n.\nPreferred Qualifications\nMaster's degree in Computer Science, Machine Learning, Artificial Intelligence, or a related field.\n11-15+ years of experience in Data Science, Applied AI/ML, and Statistical Modeling, with a strong track record of developing, deploying, and scaling production-grade AI solutions.\nDeep expertise in:\nNatural Language Processing (NLP)\nFundamental Machine Learning\nDeep Learning\nTransformer Architectures\nState Space-Based Architectures\nAzure ML and/or AWS\nStrong Python programming, SQL, database querying, data preparation, and analysis skills\nExploratory Data Analysis (EDA)\nExperience with PyTorch\nLLM training and fine-tuning (e.g., GPT, LLaMA, Mistral, Qwen)\nGraph-based retrieval systems (Knowledge Graphs)\nEmbedding models (e.g., BGE, E5, SimCSE)\nSemantic Search and Vector Databases (e.g., FAISS, Weaviate, Milvus)\nModel Fusion and Ensemble Techniques (Stacking, Boosting, Gating)\nOptimization Algorithms (Bayesian, Particle Swarm, Genetic Algorithms)\nReinforcement Learning (e.g., RLHF, PPO, DPO, GRPO), Supervised Fine-Tuning (SFT), LoRA, QLoRA, Axolotl\nPrompt Optimization Frameworks (AutoPrompt, GreaterPrompt, DSPy), GEPA\nKey focus areas:\n\nNLP, Transformer-Based Architectures, Vector Database Technologies, Semantic Search, Embedding Models, and Retrieval-Augmented Generation (RAG).","https://in.linkedin.com/jobs/view/lead-ai-ml-engineer-nlp-transformers-vector-databases-and-rag-at-optum-india-4461993002"
"4459687352","Senior Applied AI Engineer","Clarus Advisers","Hyderabad, Telangana, India","3 weeks ago","Not specified","Not specified","Not specified","Not specified","Company Overview\nOur client is a leading technology-driven organization focused on building innovative, cloud-native software products and intelligent AI-powered solutions.\nPosition Overview\nAs an Applied AI Engineer – Software Specialist Engineer, you will design, develop, and deploy production-grade AI/GenAI applications. You will work across the full software development lifecycle, integrating LLMs, RAG pipelines, vector databases, AI agents, and cloud AI services. The role requires strong software engineering fundamentals combined with practical experience in Generative AI, agentic applications, cloud-native architecture, DevSecOps, and AI-augmented development practices.\nResponsibilities\nDesign and develop production-ready Generative AI and agentic AI applications.\nBuild LLM-powered solutions using OpenAI, Anthropic, open-source models, Azure OpenAI, AWS Bedrock, or equivalent platforms.\nDevelop RAG pipelines, prompt engineering workflows, vector search, and knowledge-based AI applications.\nBuild and orchestrate AI agents using frameworks such as LangChain, LangGraph, LangFuse, LangSmith, or equivalent tools.\nDevelop scalable cloud-native applications using Azure, AWS, or GCP.\nImplement microservices, PaaS/FaaS architectures, APIs, and application-level infrastructure as code.\nApply AI/ML evaluation, monitoring, tracing, and observability practices.\nDevelop high-quality, maintainable software using strong OOP/OOD, DSA, testing, and code instrumentation practices.\nCollaborate on architecture and technical designs using business context, sequence, activity, state, entity relationship, and data-flow diagrams.\nImplement CI/CD, DevSecOps, SRE, security, and quality engineering practices.\nUse tools such as GitHub, Azure DevOps, SonarQube, MLflow, and related engineering platforms.\nApply cost-aware engineering and FinOps principles to cloud and AI workloads.\nContribute to AI-augmented and spec-driven software development.\nWork closely with cross-functional teams to translate business requirements into scalable AI solutions.\nSkills & Experience\n6–9 years of overall software engineering experience.\n3+ years of hands-on experience building AI/ML, Generative AI, and/or agentic applications.\nStrong programming experience in Python and SQL.\nExperience with one or more of C#/ Java, NodeJS, Angular, or React.\nStrong hands-on experience with LLMs, RAG, prompt engineering, vector databases, and LLM evaluation.\nExperience integrating OpenAI, Anthropic, Azure OpenAI, AWS Bedrock, Vertex AI, or open-source LLMs.\nExperience with LangChain, LangGraph, or equivalent agent orchestration frameworks.\n3+ years of experience with Azure, AWS, or GCP and cloud-native engineering.\nExperience with microservices, PaaS/FaaS, APIs, Infrastructure as Code, and CI/CD.\nKnowledge of PyTorch/TensorFlow is desirable.\nExperience with MLflow, LangFuse, LangSmith, or equivalent AI observability/evaluation tools.\nStrong understanding of OOP/OOD, data structures, algorithms, system design, and software testing.\nExperience with DevSecOps, SRE, XP/Lean, GitHub/Azure DevOps, and SonarQube.\nUnderstanding of cloud/AI cost optimization and FinOps.\nBachelor's degree in Computer Science, Software Engineering, Data Science, Machine Learning, or a related discipline.","https://in.linkedin.com/jobs/view/senior-applied-ai-engineer-at-clarus-advisers-4459687352"
